Entreprise,SIREN,Contact_Prenom,Contact_Nom,Email,Telephone,Poste,Ville,Code_Postal,Profession,Specialite,Taille_Cabinet,Priorite,Statut,Pain_Point_Principal
Cabinet DUPONT & ASSOCIES,123456789,Jean,Dupont,j.dupont@dupont-avocats.fr,01 42 XX XX XX,Avocat associé,Paris,75008,Avocat,Droit des affaires,5-10 avocats,Très haute,À contacter,Relances factures impayées (30% CA)
SCP MARTIN DENIS,234567890,Marie,Martin,m.martin@scp-martin.fr,01 45 XX XX XX,Notaire,Paris,75016,Notaire,Immobilier,3-5 notaires,Très haute,À contacter,Rappels RDV signatures + pièces manquantes
Cabinet Dr BERNARD,345678901,Paul,Bernard,contact@dr-bernard.fr,01 47 XX XX XX,Médecin généraliste,Lyon,69002,Médecin,Médecine générale,2-3 médecins,Haute,À contacter,Rappels consultations contrôle patients
Architectes ROUSSEAU,456789012,Sophie,Rousseau,s.rousseau@archi-rousseau.com,04 91 XX XX XX,Architecte DPLG,Marseille,13001,Architecte,Résidentiel,4-8 architectes,Haute,À contacter,Relances devis + factures phases
Cabinet LEFEBVRE Expertise,567890123,Marc,Lefebvre,m.lefebvre@expertise-lefebvre.fr,03 20 XX XX XX,Expert-comptable,Lille,59000,Expert-comptable,PME/TPE,10-20 collaborateurs,Très haute,À contacter,Rappels échéances fiscales clients
Cabinet Dentaire MOREAU,678901234,Émilie,Moreau,contact@dentiste-moreau.fr,02 40 XX XX XX,Chirurgien-dentiste,Nantes,44000,Dentiste,Omnipratique,3-4 praticiens,Moyenne,À contacter,Confirmations RDV + relances impayés
SCP PETIT AVOCAT,789012345,Laurent,Petit,l.petit@avocat-petit.fr,05 61 XX XX XX,Avocat,Toulouse,31000,Avocat,Droit pénal,2-4 avocats,Haute,À contacter,Suivi dossiers + relances honoraires
Cabinet ROUX Architecture,890123456,Catherine,Roux,c.roux@roux-archi.fr,04 78 XX XX XX,Architecte,Lyon,69006,Architecte,Commercial,6-12 architectes,Moyenne,À contacter,Gestion devis + validation plans
Dr VINCENT Ophtalmologie,901234567,Thomas,Vincent,secretariat@dr-vincent.fr,01 48 XX XX XX,Ophtalmologue,Paris,75017,Médecin,Ophtalmologie,1-2 médecins,Moyenne,À contacter,Rappels contrôles annuels patients
SELARL SIMON Notaires,012345678,Isabelle,Simon,i.simon@notaires-simon.fr,02 98 XX XX XX,Notaire,Brest,29200,Notaire,Famille/Succession,4-6 notaires,Haute,À contacter,Relances pièces + rappels délais
Cabinet LAMBERT Conseil,123450789,Nicolas,Lambert,n.lambert@lambert-conseil.fr,03 88 XX XX XX,Consultant,Strasbourg,67000,Consultant,Management,1-3 consultants,Moyenne,À contacter,Relances factures missions
Dr GARNIER Kinésithérapie,234501890,Anne,Garnier,a.garnier@kine-garnier.fr,04 42 XX XX XX,Kinésithérapeute,Aix-en-Provence,13100,Kinésithérapeute,Sport/Rééducation,2-4 kinés,Basse,À contacter,Confirmations RDV + relances séances
Cabinet BONNET Avocats,345012901,Philippe,Bonnet,p.bonnet@bonnet-avocats.fr,01 44 XX XX XX,Avocat,Paris,75001,Avocat,Droit social,8-15 avocats,Très haute,À contacter,Facturation complexe + impayés
Architectes FAURE & CO,456123012,Julie,Faure,j.faure@faure-archi.com,04 93 XX XX XX,Architecte,Nice,06000,Architecte,Luxe/Haut de gamme,5-10 architectes,Haute,À contacter,Relances clients VIP + devis élevés
Cabinet CHEVALIER Expertise,567234123,David,Chevalier,d.chevalier@expert-chevalier.fr,02 51 XX XX XX,Expert-comptable,La Roche-sur-Yon,85000,Expert-comptable,Artisans/Commerçants,6-12 collaborateurs,Moyenne,À contacter,Rappels liasses fiscales clients
Dr GIRARD Dermatologie,678345234,Sandrine,Girard,contact@dermato-girard.fr,01 49 XX XX XX,Dermatologue,Paris,75015,Médecin,Dermatologie,1-2 médecins,Basse,À contacter,Gestion liste attente + RDV
SCP ANDRE Notaires,789456345,François,André,f.andre@scp-andre.fr,03 26 XX XX XX,Notaire,Reims,51100,Notaire,Rural/Agricole,3-5 notaires,Moyenne,À contacter,Relances actes + pièces agriculteurs
Cabinet MERCIER Conseil Juridique,890567456,Valérie,Mercier,v.mercier@mercier-droit.fr,04 76 XX XX XX,Juriste,Grenoble,38000,Juriste,Propriété intellectuelle,2-5 juristes,Basse,À contacter,Suivi dossiers brevets + relances
Dr BLANC Orthodontie,901678567,Christophe,Blanc,c.blanc@ortho-blanc.fr,02 43 XX XX XX,Orthodontiste,Le Mans,72000,Dentiste,Orthodontie,2-3 praticiens,Moyenne,À contacter,Rappels contrôles mensuel appareils
Cabinet PERRIN Architecture Intérieure,012789678,Nathalie,Perrin,n.perrin@perrin-design.fr,01 46 XX XX XX,Architecte d'intérieur,Paris,75011,Architecte,Décoration/Rénovation,3-6 designers,Basse,À contacter,Validation projets clients + relances
